ADALINE,HEBB,SVM,ELM,MLP,KGAUSSA,KGAUSSH,KMLPA,KMLPH
0.6,0.73,0.77,0.75,0.75,0.7,0.7,0.69,0.69
0.67,0.72,0.73,0.75,0.74,0.69,0.7,0.75,0.73
0.61,0.71,0.68,0.74,0.72,0.7,0.7,0.68,0.67
0.61,0.72,0.76,0.77,0.77,0.54,0.7,0.78,0.78
0.6,0.69,0.73,0.74,0.71,0.7,0.7,0.69,0.7
0.7,0.75,0.79,0.78,0.72,0.7,0.7,0.73,0.73
0.58,0.71,0.73,0.71,0.73,0.7,0.7,0.68,0.69
0.64,0.72,0.82,0.85,0.85,0.7,0.7,0.67,0.69
0.72,0.73,0.79,0.82,0.79,0.7,0.7,0.75,0.76
0.65,0.71,0.74,0.81,0.73,0.7,0.7,0.73,0.71
